#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
1990 2 8 3114 0.3
1991 2 8 4214 0.3
1992 2 8 2861 0.3
1993 2 8 5136 0.3
1994 2 8 3256 0.3
1995 2 8 5499 0.3
1996 2 8 6304 0.3
1997 2 8 3666 0.3
1998 2 8 671 0.3
1999 2 8 686 0.3
2000 2 8 2360 0.3
2001 2 8 2696 0.3
2002 2 8 1646 0.3
2003 2 8 1853 0.3
2004 2 8 1527 0.3
2005 2 8 1266 0.3
2006 2 8 577 0.3
2007 2 8 683 0.3
2008 2 8 1337 0.3
2009 2 8 989 0.3
2010 2 8 1962 0.3
2011 2 8 318 0.3
2012 2 8 1188 0.3
2013 2 8 887 0.3
2014 2 8 623 0.3
2015 2 8 378 0.3
2016 2 8 563 0.3
2017 2 8 1104 0.3
2018 2 8 786 0.3
2019 2 8 675 0.3
2020 2 8 794 0.3
2021 2 8 1447 0.3
-9999 0 0 0 0

#CPUE settings
#_Units:  0=numbers; 1=biomass; 2=F; >=30 for special types
#_Errtype:  -1=normal; 0=lognormal; >0=T
#_SD_Report: 0=no sdreport; 1=enable sdreport
#_Fleet Units Errtype SD_Report
1 1 0 0
2 1 0 0
3 1 0 0
4 1 0 0
5 0 0 0
6 0 0 0
7 0 0 0
8 0 0 0
9 0 0 0
10 0 0 0
11 0 0 0
12 0 0 0
13 0 0 0
14 0 0 0
15 0 0 0
16 0 0 0
17 0 0 0
18 0 0 0
19 0 0 0
20 0 0 0
21 0 0 0
22 0 0 0
23 0 0 0
24 0 0 0
25 0 0 0
26 0 0 0
27 0 0 0
28 0 0 0
29 0 0 0
30 0 0 0
31 0 0 0
32 0 0 0
33 0 0 0
34 0 0 0
35 0 0 0
36 0 0 0


#CPUE   ## GF: note check What the REC CPUE refers to - if kept only then needs to be tied to the fishing fleet and not its own survey # 

#_year seas index obs se(log)   
###############################################
##  Survey Index Data
###############################################
#_MA_Spring_Trawl
1989 4 9 0.846216299845432 0.536231823601024
1990 4 9 0.540676865289385 0.36862564436226
1992 4 9 0.0694217436520523 0.595432112541049
1993 4 9 0.0549847741322684 0.661860072650523
1994 4 9 0.146038864692534 0.768959849316825
1995 4 9 0.362142469963968 0.395107122348096
1996 4 9 0.0889862595471206 0.492382058238949
1997 4 9 0.310363219981972 0.646327759528882
1998 4 9 0.147350569047642 0.460282296616917
1999 4 9 0.124550467885187 0.445245221846946
2000 4 9 1.5844788045882 0.683824209183623
2001 4 9 0.476784868177968 0.457088764105649
2002 4 9 0.762605338972809 0.288026469234233
2003 4 9 0.399626539501851 0.340743451551997
2004 4 9 0.324739451543301 0.393234621706392
2005 4 9 0.392129205989453 0.327053618753922
2006 4 9 0.3941698483546 0.280678893970443
2007 4 9 0.826989485822894 0.343037644430962
2008 4 9 1.18081413014996 0.315844168240238
2009 4 9 0.500765761510632 0.238917667350075
2010 4 9 0.686237858223801 0.276574168528719
2011 4 9 0.280049492208569 0.361917863311322
2012 4 9 1.52910516936489 0.364173973857831
2013 4 9 1.36709874850942 0.324378667562224
2014 4 9 2.05388673931789 0.399984334841607
2015 4 9 0.6413761446448 0.375612879907207
2016 4 9 1.64543483838911 0.248677451709898
2017 4 9 1.92701066030316 0.456323422267388
2018 4 9 2.8333429929334 0.371859842719266
2019 4 9 1.21034342113446 0.228478762922811
2021 4 9 1.90186037882402 0.2452347432619
#_MA_Fall_Trawl
1989 10 10 0.421088355448212 0.567536895887528
1990 10 10 0.823305132252123 0.426754412178086
1992 10 10 0.541100263955045 0.39532491399046
1993 10 10 0.108458179742812 0.676756453734082
1994 10 10 0.560344906509996 0.406445733867755
1996 10 10 0.239436086893238 0.337890076425256
1997 10 10 2.69323356709084 0.244423228617964
1998 10 10 0.0278316761738754 0.88937564593023
1999 10 10 3.17671114999261 0.127237837477823
2000 10 10 18.0410522171263 0.139252902687439
2001 10 10 4.44683855341569 0.119009875901493
2002 10 10 35.1077878885564 0.120575851821375
2003 10 10 4.79835655010785 0.0856011507177117
2004 10 10 1.06422414436834 0.133579155455931
2005 10 10 1.76531319896593 0.146198345799148
2006 10 10 3.68830213656983 0.120531371903886
2007 10 10 3.093076661793 0.227995154725514
2008 10 10 4.33656008295624 0.103363621666416
2009 10 10 12.0857152021377 0.119060821517878
2010 10 10 9.15519704259814 0.15629131850935
2011 10 10 4.01745345438751 0.0739833455875778
2012 10 10 5.98270385243634 0.112178771867379
2013 10 10 9.59544573274322 0.136488209907726
2014 10 10 13.2643086918302 0.0753311139639192
2015 10 10 7.27771033219162 0.0922244000991291
2016 10 10 13.4214392237325 0.125159927421225
2017 10 10 15.9202395041865 0.117144515979133
2018 10 10 11.8503543890112 0.0943033081783224
