#_
#_
1989 #_styr
2021 #_endyr
2 #_nseas
6 6 #_months/season
2 # number of subseasons
7 #_spawning month
2 #_Nsexes
15 #_Nages
2 ##_N_areas
15 #_Nfleet #31 ##_Nsurveys
# Fleets
#type	timing	area	units	multiplier	name	num
2010	4	9	137.47332	0.195
2011	4	9	120.91038	0.199
2012	4	9	510.10946	0.181
2013	4	9	368.27878	0.176
2014	4	9	724.36631	0.181
2015	4	9	296.64721	0.206
2016	4	9	617.99331	0.149
2017	4	9	585.29911	0.185
2018	4	9	239.58537	0.176
2019	4	9	392.25973	0.204
2020	4	9	372.85494	0.273
2021	4	9	624.29466	0.186
#_VAST_S_spr				
1989	4	10	509.61668	0.242
1990	4	10	525.86694	0.25
1991	4	10	248.42738	0.226
1992	4	10	639.00423	0.19
1993	4	10	583.4031	0.169
1994	4	10	294.75759	0.267
1995	4	10	393.44872	0.213
1996	4	10	548.29758	0.19
1997	4	10	252.37002	0.195
1998	4	10	332.41928	0.178
1999	4	10	289.72393	0.216
2000	4	10	642.12291	0.188
2001	4	10	977.36476	0.191
2002	4	10	1122.26744	0.17
2003	4	10	1239.57204	0.175
2004	4	10	548.12251	0.171
2005	4	10	506.49346	0.161
2006	4	10	247.24496	0.196
2007	4	10	257.28271	0.18
2008	4	10	278.08905	0.278
2009	4	10	382.70537	0.219
2010	4	10	620.90379	0.213
2011	4	10	326.60629	0.226
2012	4	10	320.33508	0.221
2013	4	10	901.26433	0.188
2014	4	10	323.39175	0.233
2015	4	10	279.79832	0.222
2016	4	10	203.28602	0.242
2017	4	10	552.96986	0.22
2018	4	10	815.67017	0.213
2019	4	10	367.35605	0.249
2020	4	10	878.57125	0.208
2021	4	10	636.97318	0.237
#_VAST_N_fall				
1989	10	11	54.518	0.7
1990	10	11	8.62507	0.502
1991	10	11	14.22934	0.562
1992	10	11	29.10975	0.426
1993	10	11	30.08289	0.436
1994	10	11	17.6977	0.497
1995	10	11	39.61911	0.417
1996	10	11	32.73031	0.352
1997	10	11	35.12002	0.279
1998	10	11	31.14781	0.533
1999	10	11	156.40404	0.203
2000	10	11	419.08063	0.174
2001	10	11	169.76891	0.169
2002	10	11	433.92947	0.151
2003	10	11	395.28216	0.168
2004	10	11	428.34064	0.183
2005	10	11	467.11657	0.181
2006	10	11	283.95669	0.179
2007	10	11	149.97092	0.206
2008	10	11	378.50141	0.16
2009	10	11	136.56733	0.178
2010	10	11	190.11777	0.166
2011	10	11	121.32807	0.15
2012	10	11	292.21282	0.13
2013	10	11	345.42037	0.14
2014	10	11	362.10498	0.118
2015	10	11	341.1799	0.152
2016	10	11	525.29537	0.132
2017	10	11	598.81671	0.161
2018	10	11	563.77448	0.136
2019	10	11	378.78311	0.14
2020	10	11	383.69125	0.251
2021	10	11	327.00671	0.152
#_VAST_S_fall				
1989	10	12	7.92019	0.496
1990	10	12	11.09924	0.493
1991	10	12	9.88506	0.491
1992	10	12	6.69208	0.499
1993	10	12	4.66434	0.487
1994	10	12	5.78687	0.485
1995	10	12	12.09552	0.49
1996	10	12	5.90377	0.486
1997	10	12	13.30696	0.492
1998	10	12	4.46887	0.492
1999	10	12	9.40655	0.493
2000	10	12	11.79411	0.497
2001	10	12	5.65278	0.5
2002	10	12	21.55869	0.495
2003	10	12	11.25802	0.496
2004	10	12	4.62267	0.488
2005	10	12	1.99563	0.491
2006	10	12	4.22031	0.483
2007	10	12	7.36241	0.497
2008	10	12	8.56995	0.493
2009	10	12	11.37201	0.487
2010	10	12	5.47535	0.485
2011	10	12	6.35731	0.484
2012	10	12	22.40104	0.486
2013	10	12	4.72042	0.485
2014	10	12	5.40839	0.482
2015	10	12	12.1952	0.488
2016	10	12	14.15268	0.491
2017	10	12	11.62952	0.485
2018	10	12	10.6382	0.49
2019	10	12	12.98379	0.489
2020	10	12	9.96137	0.487
2021	10	12	33.44537	0.49
#coastwide winter bottom temperature
1988	7	15	-0.5936	0.294
1989	7	15	0.8554	0.294
1990	7	15	0.3499	0.294
1991	7	15	0.3146	0.294
1992	7	15	-1.4873	0.294
1993	7	15	-1.1196	0.294
1994	7	15	0.2090	0.294
1995	7	15	-1.6007	0.294
1996	7	15	0.6864	0.294
1997	7	15	-0.7301	0.294
1998	7	15	0.5595	0.294
1999	7	15	0.1989	0.294
2000	7	15	-0.4020	0.294
2001	7	15	1.6815	0.294
2002	7	15	-1.2272	0.294
2003	7	15	-1.7809	0.294
2004	7	15	-1.5304	0.294
2005	7	15	1.0525	0.294
2006	7	15	0.0915	0.294
2007	7	15	0.8293	0.294
2008	7	15	0.2506	0.294
2009	7	15	-1.1636	0.294
2010	7	15	-0.6708	0.294
2011	7	15	2.3775	0.294
2012	7	15	0.1451	0.294
2013	7	15	-0.2589	0.294
2014	7	15	-0.4447	0.294
2015	7	15	1.3185	0.294
2016	7	15	0.6792	0.294
2017	7	15	-0.0416	0.294
2018	7	15	-0.1616	0.294
2019	7	15	1.0508	0.294
2020	7	15	0.5629	0.294
-9999 0 0 0 0

8 #_N_fleets_with_discard
#_discard_units (1=same_as_catchunits(bio/num); 2=fraction; 3=numbers)
#_discard_errtype:  >0 for DF of T-dist(read CV below); 0 for normal with CV; -1 for normal with se; -2 for lognormal; -3 for trunc normal with CV
# note, only have units and errtype for fleets with discard 
#_Fleet units errtype
1 1 -2
2 1 -2
3 1 -2
4 1 -2
5 1 -2
6 1 -2
7 1 -2
8 1 -2

#Discard data
#Year Month Fleet Observation Error
#Disc_North_Trawl_1				
1989	4	1	28.25	0.54
1990	4	1	6.36	0.6
1991	4	1	5.92	0.4
1992	4	1	5.51	0.78
1993	4	1	8.18	0.63
1994	4	1	12.86	0.97
1995	4	1	8.65	0.32
1996	4	1	19.73	0.84
1997	4	1	24.27	1.15
1998	4	1	26.81	0.47
1999	4	1	18.68	0.34
2000	4	1	17	0.45
2001	4	1	99.89	0.44
2002	4	1	20.3	0.65
2003	4	1	29.09	0.64
2004	4	1	75.96	0.26
2005	4	1	7.2	0.22
2006	4	1	13.15	0.27
2007	4	1	49.84	0.45
2008	4	1	21.07	0.37
2009	4	1	72.54	0.26
2010	4	1	41.31	0.26
2011	4	1	56.11	0.25
2012	4	1	61.51	0.26
2013	4	1	78.13	0.19
2014	4	1	199.93	0.18
2015	4	1	179.9	0.15
2016	4	1	274.72	0.14
2017	4	1	441.51	0.14
2018	4	1	294.56	0.11
2019	4	1	383.57	0.1
2020	4	1	77.59	0.12
2021	4	1	124.43	0.12
#Disc_South_Trawl_1				
1989	4	2	28.41	0.42
1990	4	2	22.66	0.45
1991	4	2	4.72	0.32
1992	4	2	67.73	0.44
1993	4	2	1.59	0.385
1994	4	2	7.79	0.33
1995	4	2	11.95	0.36
1996	4	2	159.14	0.54
1997	4	2	10.76	0.21
1998	4	2	49.01	0.56
1999	4	2	3.37	0.67
2000	4	2	6.2	0.3
2001	4	2	15.67	0.34
2002	4	2	8.57	0.21
2003	4	2	30.79	0.4
2004	4	2	110.83	0.42
2005	4	2	30.01	0.38
2006	4	2	5.88	0.61
2007	4	2	8.77	0.58
2008	4	2	8.71	0.34
2009	4	2	17.08	0.31
2010	4	2	38.56	0.28
2011	4	2	79.01	0.29
2012	4	2	7.99	0.41
2013	4	2	14.98	0.49
2014	4	2	41.45	0.39
2015	4	2	14.34	0.26
2016	4	2	12.75	0.24
2017	4	2	14.86	0.2
2018	4	2	22.12	0.25
2019	4	2	44.21	0.33
2020	4	2	75.6	0.26
2021	4	2	23.72	0.26
#Disc_North_Trawl_2				
1989	10	3	20.92	0.54
1990	10	3	4.88	0.6
1991	10	3	4.48	0.4
1992	10	3	3.85	0.78
1993	10	3	8.7	0.63
1994	10	3	13.74	0.97
1995	10	3	7.65	0.32
1996	10	3	14.74	0.84
1997	10	3	19.68	1.15
1998	10	3	24.02	0.47
1999	10	3	16.7	0.34
2000	10	3	14.16	0.45
2001	10	3	95.66	0.44
2002	10	3	23.64	0.65
2003	10	3	27.73	0.64
2004	10	3	101.54	0.26
2005	10	3	8.01	0.22
2006	10	3	9.29	0.27
2007	10	3	33.02	0.45
2008	10	3	20.46	0.37
2009	10	3	72.62	0.26
2010	10	3	38.53	0.26
2011	10	3	52.16	0.25
2012	10	3	39.28	0.26
2013	10	3	81.17	0.19
2014	10	3	176.93	0.18
2015	10	3	192.04	0.15
2016	10	3	261.06	0.14
2017	10	3	476.94	0.14
2018	10	3	345.24	0.11
2019	10	3	414.39	0.1
2020	10	3	99.61	0.12
2021	10	3	143.34	0.12
#Disc_South_Trawl_2				
1989	10	4	40.71	0.42
1990	10	4	29.67	0.45
1991	10	4	3.82	0.32
1992	10	4	76.76	0.44
1993	10	4	1.68	0.385
1994	10	4	6.4	    0.33
1995	10	4	7.76	0.36
1996	10	4	129.35	0.54
1997	10	4	12.43	0.21
1998	10	4	41.79	0.56
1999	10	4	6.07	0.67
2000	10	4	8.29	0.3
2001	10	4	19.04	0.34
2002	10	4	9.38	0.21
2003	10	4	52.92	0.4
2004	10	4	167.47	0.42
